stok,terjual,hari_ke,cuaca,hari_besar,sisa_persen,label
175,103,30,0,0,41.14,1
235,109,16,1,0,53.62,1
131,59,24,1,0,54.96,1
112,82,24,0,1,26.79,0
147,70,13,1,1,52.38,1
219,59,18,0,1,73.06,1
217,96,24,1,1,55.76,1
287,218,17,0,1,24.04,0
233,110,29,0,1,52.79,1
213,163,19,1,1,23.47,0
271,134,23,1,1,50.55,1
168,98,2,1,0,41.67,1
117,45,5,1,0,61.54,1
104,43,11,1,1,58.65,1
97,90,19,1,0,7.22,0
111,64,15,1,0,42.34,1
93,32,2,1,1,65.59,1
161,137,14,1,1,14.91,0
247,109,9,0,0,55.87,1
103,35,9,0,1,66.02,1
273,185,23,1,0,32.23,0
206,117,7,1,1,43.2,1
263,99,10,1,0,62.36,1
228,32,6,1,0,85.96,1
179,51,17,1,1,71.51,1
134,47,18,0,1,64.93,1
265,194,11,0,1,26.79,0
143,107,18,1,1,25.17,0
128,51,19,1,1,60.16,1
183,35,23,1,1,80.87,1
288,205,5,1,1,28.82,0
240,212,15,0,0,11.67,0
82,41,11,1,1,50,1
84,75,16,1,0,10.71,0
207,146,16,0,0,29.47,0
142,87,16,1,0,38.73,1
220,201,5,0,0,8.64,0
277,85,25,1,0,69.31,1
217,71,23,0,1,67.28,1
181,86,27,1,0,52.49,1
128,71,21,0,0,44.53,1
117,106,21,1,1,9.4,0
281,247,30,1,0,12.1,0
212,51,28,1,1,75.94,1
214,70,27,0,1,67.29,1
136,44,13,0,1,67.65,1
225,208,10,1,1,7.56,0
114,37,8,1,0,67.54,1
289,56,25,1,1,80.62,1
121,115,30,1,0,4.96,0
204,72,27,1,1,64.71,1
144,117,11,0,1,18.75,0
128,110,23,0,1,14.06,0
118,70,29,1,0,40.68,1
118,39,6,0,1,66.95,1
143,106,12,1,1,25.87,0
199,176,22,1,0,11.56,0
227,122,30,0,1,46.26,1
278,163,9,0,0,41.37,1
124,124,10,0,1,0,0
238,78,16,0,1,67.23,1
88,85,3,0,0,3.41,0
103,30,22,1,1,70.87,1
83,33,28,0,1,60.24,1
116,64,23,1,0,44.83,1
240,153,22,0,1,36.25,1
223,85,12,0,1,61.88,1
258,156,24,1,1,39.53,1
187,105,1,0,0,43.85,1
187,176,8,0,1,5.88,0
193,144,20,0,0,25.39,0
174,162,23,1,0,6.9,0
218,31,6,0,0,85.78,1
86,53,20,1,1,38.37,1
255,222,9,1,0,12.94,0
279,194,6,1,1,30.47,0
227,184,8,0,0,18.94,0
238,199,15,1,0,16.39,0
92,55,3,0,1,40.22,1
184,44,18,1,1,76.09,1
